net,length_um
decoded_imm\[18\],439.46
_02881_,439.315
_04566_,437.41
_04070_,436.82
_04325_,435.93
clknet_4_12_0_clk,434.655
_01995_,433.01
net121,432.55
_04487_,431.06
net101,430.88
_03385_,430.69
_04880_,430.43
clknet_4_11_0_clk,430.42
_03294_,430.3
_03254_,429.3
_04478_,426.275
_05086_,425.78
net78,424.3
_04272_,423.605
_04160_,422.15
decoded_imm\[15\],421.745
net68,421.65
_04328_,420.69
decoded_imm\[22\],420.555
_05200_,418.82
decoded_imm\[10\],416.64
_00067_,416.34
_06174_,415.8
net1,415.44
_04262_,414.935
_04360_,414.27
_04414_,414.08
_04040_,412.17
net105,410.51
net104,410.34
net102,410.22
_02635_,410.04
net210,410
_03671_,409.82
_02111_,407.56
net124,405.62
net95,405.57
net69,403.155
decoded_imm\[19\],402.9
_04142_,400.96
_04602_,400.135
_05219_,400.03
_00071_,398.6
_04278_,398.47
decoded_imm\[26\],398.33
clknet_4_5_0_clk,396.94
_04642_,395.4
_04466_,395.24
decoded_imm\[12\],394.54
_03276_,393.24
_05414_,393.15
clknet_4_15_0_clk,393.05
net100,392.96
decoded_imm\[21\],392.92
net89,392.9
net123,391.2
_02331_,390.26
decoded_imm\[14\],390.18
clknet_4_2_0_clk,388.84
_03327_,388.39
decoded_imm\[13\],388.36
net92,387.805
decoded_imm\[17\],387.59
net119,387.39
_04592_,386.02
_04913_,385.305
_05260_,384.785
net70,384.72
_03384_,384.57
_04507_,384.4
_04979_,384.205
net26,384
net206,383.45
_02313_,382.29
_02412_,382.27
net113,382.02
_03196_,380.86
clknet_4_9_0_clk,380.295
_07775_,380.115
net103,379.78
net65,379.215
_04240_,378.895
net90,377.61
net28,375.3
_04744_,375.205
net262,374.8
_01936_,374.78
_05220_,374.745
_02233_,373.8
_04342_,373.24
clknet_4_13_0_clk,372.56
_05218_,371.83
net112,371.57
_05037_,371.18
_05143_,370.88
_05259_,370.395
_06342_,369.93
_05205_,369.925
instr_retirq,369.21
_03303_,368.61
net209,368.17
net114,367.77
_05301_,367.375
decoded_imm\[20\],366.67
net71,366.485
net259,365.37
_05261_,364.075
net207,363.9
_06231_,363.03
_05206_,362.255
net27,361.86
_04561_,359.99
_01714_,359.555
net120,359.42
_03174_,359.26
net96,358.5
decoded_imm\[25\],358.49
clk,356.84
_04307_,356.615
net109,356
_04611_,355.68
net88,355.51
_04754_,354.88
net87,354.44
decoded_imm\[9\],354.3
_07904_,354.165
_05013_,353.92
net98,353.92
_04037_,353.91
_02058_,353.7
decoded_imm\[24\],353.475
_03138_,353.265
_04036_,352.7
_04049_,352.415
_04959_,351.715
_03309_,351.675
_03658_,351.59
clknet_4_6_0_clk,351.32
_00073_,350.76
_04150_,350.75
net111,349.33
_04251_,349.22
_05077_,348.43
net30,347.44
net130,346.99
_04526_,346.355
net129,344.92
net122,344.62
_06335_,344.46
_06207_,344.24
_05169_,344.17
_06095_,343.17
net231,342.825
_03674_,342.73
net106,342.47
mem_rdata_q\[25\],342.395
_02232_,342.285
net116,342.14
_07905_,340.625
net91,340.625
clknet_4_0_0_clk,340.28
_05044_,339.925
_03659_,339.83
net29,339.7
_04812_,339.365
clknet_4_8_0_clk,338.64
net228,338.16
_03195_,335.945
_05277_,335.18
_06327_,335.18
_06247_,334.42
_04198_,333.915
net32,333.82
_02667_,333.4
_03636_,332.86
_01295_,332.235
_04185_,332.14
net230,331.82
_04009_,331.625
_02659_,331.32
net31,330.92
net81,330.2
net118,330.1
_07815_,329.89
_04737_,329.28
_05251_,328.905
net255,327.89
_05221_,327.33
_04016_,326.395
_03631_,326.215
_01959_,325.65
_06156_,325.58
net115,325.22
mem_rdata_q\[27\],324.95
decoded_imm\[28\],324.84
_06098_,324.29
_04156_,324.25
net74,324.06
_07826_,323.82
_02197_,322.985
_04046_,322.94
decoded_imm\[30\],322.755
_02665_,321.95
net227,321.94
net193,319.98
_01753_,319.64
_03524_,319.64
_04469_,319.48
_03219_,319.395
_06165_,318.86
decoded_imm\[27\],318.39
_02298_,317.81
net229,317.71
_03669_,317.69
decoded_imm\[8\],317.39
_06186_,317.275
_03895_,317.12
_03518_,315.535
net76,314.985
net256,314.965
_08232_,314.95
mem_rdata_q\[26\],314.925
net117,314.88
_03272_,314.82
_05390_,314.755
_03298_,314.68
_07960_,314.655
net107,312.96
_06124_,312.815
decoded_imm\[5\],311.58
_02458_,311.5
net237,311.21
_02216_,311.045
net2,310.86
net233,310.22
net108,309.67
_05009_,309.425
_04631_,308.76
net232,308.35
_05222_,307.86
_03940_,307.62
_04055_,307.38
net211,307.23
net226,306.93
_05227_,306.925
_07877_,306.605
net4,305.94
_03308_,305.76
net235,305.73
instr_jal,305.39
_05069_,305.38
_03333_,305.365
net3,304.48
net242,301.95
_06215_,301.77
net234,301.67
net5,301.44
mem_rdata_q\[28\],301.21
alu_out\[1\],301.2
_05076_,300.24
_06149_,298.23
_04945_,297.815
_02283_,297.58
_06054_,296.69
_05363_,296.06
decoded_imm\[29\],295.875
_03510_,295.51
_05367_,295.035
_04104_,294.92
_04006_,293.315
_03311_,293.22
_05323_,292.59
_04871_,291.855
_05215_,291.575
_04188_,291.57
net48,291.225
_07225_,290.33
net243,290.19
_04810_,289.81
net215,289.62
_05288_,289.18
_02613_,289.02
_03215_,288.33
_02669_,288.16
_01881_,288.11
_04080_,287.9
_07992_,287.1
_03826_,287.005
decoded_imm\[7\],286.42
net244,286.05
_04018_,286
_06083_,285.96
_06192_,285.64
_05398_,285.35
_02612_,285.2
_05357_,285.04
_03679_,284.17
net241,283.93
_04308_,283.42
net239,283.305
irq_mask\[2\],282.86
_05138_,282.52
_05334_,281.515
_07224_,280.37
_06069_,279.96
_05239_,279.18
_03353_,279.03
_03292_,278.345
net238,278.06
_07209_,277.45
_05244_,276.99
_01823_,276.93
_04105_,276.22
net49,275.42
_06239_,275.33
_05174_,275.13
_04842_,275.045
decoded_imm\[31\],274.82
net240,274.57
_03878_,274.4
_02610_,273.88
_04659_,273.66
_02426_,272.94
net51,272.89
_05829_,272.38
_04012_,270.905
net54,269.85
_03575_,269.63
_05287_,268.76
mem_rdata_q\[29\],268.61
_05254_,268.535
net53,268.2
_05235_,268.125
_04493_,268.03
_02449_,267.83
alu_out_q\[0\],267.66
_05230_,267.55
net301,266.99
_01717_,266.825
net57,265.71
_05246_,265.01
_04038_,263.71
net179,262.87
_03864_,262.22
_01934_,261.92
net175,261.895
_03726_,261.35
_03321_,261.33
net180,261.14
net45,261.045
