net,length_um
_08303_,726.9
_20801_,726.07
net67,723.56
_08495_,722.92
_11562_,722.9
net56,721.62
_15714_,720.89
_15873_,718.29
_09455_,718.22
_08275_,717.39
_20101_,716.44
_08404_,713.45
_08230_,713.23
_15071_,711.73
net39,707.85
_13489_,707.01
_08414_,706.4
_14570_,705.72
_08513_,704.305
_20799_,702.925
_20130_,702.22
_15052_,698.71
_08502_,698.68
_13009_,698.62
_08531_,697.72
_13111_,697.35
_14581_,694.21
_08511_,691.35
_08469_,689.13
_20099_,687.73
_08257_,686.72
_12678_,686.34
_15946_,685.84
_08534_,682.09
_18537_,680.98
_17403_,678.59
_08617_,675.33
_08518_,669.535
_08227_,669.5
_15059_,668.83
_08468_,668
_08532_,667.23
_08527_,667.18
_08316_,666.49
_20179_,664.24
_08269_,664.18
_20103_,662.8
_10555_,662.71
_20791_,662.39
_14575_,661.725
_08657_,660.92
_13066_,660.47
_08525_,658.29
_08572_,658.02
_14286_,657.91
_08236_,655.605
net44,655.02
_20097_,654.85
net4,652.19
net45,652.1
_09479_,651.89
_08465_,648.86
_20107_,648.78
_09480_,647.85
_08378_,641.43
_12924_,641.19
_20105_,640.14
_09503_,639.835
_15904_,639.35
_17401_,637.93
_10880_,635.58
_14579_,634.93
_08571_,634.63
_08225_,633.29
_17399_,632.5
_09502_,631.86
net10,630.73
_20174_,625.85
_18384_,625.69
_18404_,623.87
_17405_,622.03
_08612_,620.25
_20183_,619.935
_08306_,616.94
_08383_,616.42
net22,612.42
net13,611.45
net16,610.8
_17407_,610.67
_08491_,609.88
net33,609.76
_08376_,608.7
_08240_,606.1
_18395_,605.76
_08614_,604.95
_20191_,604.92
net17,603.84
_08381_,603.61
_08312_,603.02
_08471_,602.175
_14571_,601.43
net32,601.33
_20181_,598.67
_08500_,595.48
_08867_,593.57
_20185_,593.47
_15111_,593.44
net12,593.15
_11324_,591.56
_15305_,591.095
_09474_,590.75
net40,589.3
_16180_,589.28
_18398_,588.25
net11,588.22
_08650_,586.95
_13625_,584.165
_20187_,583.98
_08473_,583.08
_17096_,583.02
_08622_,582.55
_14508_,580.94
_21639_,580.895
_17105_,579.74
_15084_,577.32
_10207_,577.23
net14,576.82
_11431_,575.7
_12923_,575.14
net23,573.63
_18392_,572.61
_11691_,572.52
_17409_,570.76
_09559_,570.46
_13708_,569.86
net15,567.96
_11286_,565.07
_18401_,564.66
net21,564.02
_10206_,563.38
_11151_,560.57
_09560_,558.39
_08868_,555.28
_14255_,555.18
_15038_,553.58
net29,553.05
_14407_,552.51
net9,552.07
_08645_,550.26
_17229_,548.82
_08623_,548.61
_08294_,546.65
_08607_,546.25
_11010_,543.99
_17394_,542.14
_08441_,540.85
_08844_,538.74
_08250_,538.24
_15116_,537.27
_08488_,536.88
net27,535.26
_16261_,533.29
_20175_,532.94
_17433_,532.92
_14709_,530.28
_08646_,529.4
_17456_,528.7
_08439_,523.715
_20091_,523.04
_18389_,522.8
_20189_,520.85
_08436_,516.81
_08292_,516.29
_20866_,515.375
_17107_,515.26
net30,515.21
net38,515.16
_08529_,515.1
_18382_,515.02
net20,514.58
_18167_,513.9
_11034_,512.54
_12496_,512.34
_08669_,512.03
_11452_,511.61
_17103_,511.33
_08625_,510.89
_08845_,510.85
_14711_,510.145
_09338_,509.87
_16862_,509.795
_08528_,508.2
_08437_,508.12
_12702_,507.87
_11445_,507.04
_11313_,505.72
_17438_,504.95
_21642_,503.88
_11167_,503.75
net36,503.05
_11172_,502.56
_11308_,502.46
_17442_,502.37
_11580_,501.58
net35,500.93
_08435_,500.8
_09066_,500.57
_10584_,499.7
_19231_,498.725
_17446_,498.42
_21636_,498.38
net37,497.6
_19828_,495.8
_09065_,495.69
_09241_,495.25
_08443_,494.97
_21651_,494.67
_08419_,494.27
_08298_,493.97
_08626_,493.93
net31,493.92
_17101_,493.67
_21648_,493.23
net28,493.19
_10763_,493.12
_08300_,491.83
_10581_,491.775
_11029_,488.44
_21654_,488.34
_11705_,488.18
net34,488.02
_09242_,487.83
_17444_,486.01
_10899_,485.6
_10399_,485.51
_08655_,485.38
_17452_,485.34
_16725_,482.91
_17113_,480.61
_08654_,480.42
_14549_,479.54
_14759_,479.02
_13220_,478.96
_14755_,478.8
net24,478.64
_17429_,478.54
_14715_,478.47
_08821_,477.88
_08423_,477.86
net75,477.74
net26,476.96
net76,476.9
_08523_,475.69
_20787_,475.285
_08576_,473.8
clk,473.48
_08433_,471.69
_20266_,471.345
_09925_,470.72
_08575_,470.5
_14707_,469.82
_11710_,468.44
_13699_,468.42
_11587_,467.74
_11047_,467.66
_09138_,467.06
_08522_,466.96
_11834_,466.25
_11181_,466
_17111_,465.945
_14713_,465.47
_17109_,464.89
net5,463.46
_13572_,462.88
_08643_,461.96
_17425_,460.87
_08229_,460.55
_15442_,460.42
net6,460.36
net25,460.22
_08642_,460.1
_09583_,459.34
_17431_,458.72
_10894_,456.98
_12266_,456.4
_17440_,456.12
_08822_,455.33
_13688_,454.505
_10752_,453.16
_17427_,453.02
net7,452.69
_09854_,452.515
_17417_,451.64
_11211_,451.2
_10603_,450.43
_13702_,450.16
_08610_,449.82
_09851_,448.57
_08959_,447.84
_10007_,447.79
_10774_,447.72
_08242_,447.67
_12381_,447.36
_10006_,447.04
_17421_,446.38
_12852_,444.6
_09141_,444.56
_11806_,443.29
_10940_,443.2
_17576_,443.1
_09855_,442.82
_17078_,442.74
_17448_,442
_14705_,441.92
net8,440.38
_08962_,440.04
_09708_,439.73
_11940_,439.06
_10004_,438.78
_08245_,438.64
_09580_,438.35
_08668_,438.32
_08725_,438.11
_13711_,437.98
_12400_,437.86
net46,437.58
_09926_,437.385
_22472_,437.315
_08641_,437.18
_21645_,436.695
_08678_,436.52
_09963_,435.94
clknet_6_10_0_clk,435.555
_08726_,435.3
_21417_,435.3
_21631_,435.045
_08265_,435.04
_09579_,434.88
_08659_,434.45
_15035_,434.08
_10203_,434.02
_09858_,433.86
_11365_,433.52
_12170_,433.08
net48,433.04
_17411_,433
_17419_,432.84
_12630_,432.18
_11634_,432.14
_12285_,431.58
_09754_,431.08
_08833_,431.02
_09115_,430.6
_22929_,430.58
_11921_,430.57
_08314_,430.445
_12515_,429.8
_09193_,429.78
_17450_,429.48
_19344_,429.48
_22470_,429.3
_11090_,429.04
_08648_,428.3
net47,427.6
_17423_,426.94
net49,426.94
_08587_,426.545
_08585_,426.51
_08477_,425.645
_19847_,424.87
_08277_,424.86
_11491_,423.6
_08584_,423.08
_08484_,422.98
_09753_,422.92
_11825_,422.34
_08832_,422.21
_09710_,421.04
_10554_,420.93
_08226_,420.28
_08280_,420.01
_09235_,419.845
_08589_,419.66
clknet_6_38_0_clk,419.595
_08664_,418.45
_08798_,417.98
_09713_,417.91
_08665_,417.895
_10202_,417.6
_09709_,417.35
_11935_,417.34
clknet_6_17_0_clk,417.01
net69,416.03
_10604_,413.61
_15423_,413.42
_12151_,413.08
_11864_,412.5
_09116_,412.07
_15430_,410.945
_12670_,410.38
